"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify forgot password with valid email","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testForgotPasswordValidEmail"
"","1","Verify password reset with invalid email format","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.forgotPasswordTestAndroid","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","testInvalidEmailFormatReset"
"","1","Verify forgot password link navigation","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testForgotPasswordNavigation"
"","0","Verify OTP validation with incomplete code","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.forgotPasswordTestAndroid","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","testIncompleteOTPVerification"
"","0","Verify back navigation from language selection","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testLanguageBackNavigation"
"","0","setup","HabitNu Android Mobile Automation","2026-01-08","broken","2026-01-08","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","setup"
"","0","Verify login with invalid credentials","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testInvalidCredentials"
"","0","Verify keyboard interaction with email field","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testEmailFieldKeyboardInteraction"
"","0","Verify navigation links are visible","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testNavigationLinksVisibility"
"","0","Verify weight progress information","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testWeightProgressInformation"
"","0","Verify successful login and profile access","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testLoginSuccessfully"
"","0","Verify back navigation from OTP screen","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.forgotPasswordTestAndroid","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","testOTPBackNavigation"
"","0","Verify email field accepts valid email format","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testValidEmailInput"
"","0","Verify scrolling functionality","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testDashboardScrolling"
"","0","Verify contact form stress test","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testContactFormStress"
"","0","Verify form submission with network interruption","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testNetworkInterruptionScenario"
"","0","Verify Exercise functionality","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testExerciseButton"
"","0","Verify profile functionality","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testprofileButton"
"","1","Verify login with empty email shows email error","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testEmptyEmailLogin"
"","0","Verify sign in button state","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testSignInButtonState"
"","0","Verify multiple form submissions","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testMultipleFormSubmissions"
"","0","Verify change language functionality","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testChangeLanguageNavigation"
"","1","Verify login with empty password shows password error","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testEmptyPasswordLogin"
"","0","Verify send code via email functionality","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testSendCodeViaEmail"
"","1","Verify long text input handling in message field","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testLongMessageInput"
"","1","Verify network interruption handling during authentication","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testNetworkInterruptionScenario"
"","0","Verify form accessibility and usability","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testFormAccessibility"
"","0","Verify special characters and unicode input handling","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testSpecialCharactersInput"
"","1","Verify numeric password input","HabitNu Android Mobile Automation","2026-01-08","skipped","2026-01-08","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testNumericPasswordInput"
