"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 26 15:05:57 UTC 2025","Fri Dec 26 15:06:10 UTC 2025","12978","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testMultipleResetAttempts","Verify multiple password reset attempts",""
"passed","Fri Dec 26 15:05:45 UTC 2025","Fri Dec 26 15:05:54 UTC 2025","8848","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testForgotPasswordBackNavigation","Verify back navigation from forgot password screen",""
"passed","Fri Dec 26 15:04:34 UTC 2025","Fri Dec 26 15:04:40 UTC 2025","6501","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testInvalidEmailFormatReset","Verify password reset with invalid email format",""
"passed","Fri Dec 26 15:06:10 UTC 2025","Fri Dec 26 15:06:41 UTC 2025","30610","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testKeyboardInteraction","Verify keyboard interaction during flows",""
"passed","Fri Dec 26 15:04:26 UTC 2025","Fri Dec 26 15:04:34 UTC 2025","7740","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testValidEmailPasswordReset","Verify forgot password functionality with valid email",""
"passed","Fri Dec 26 15:05:54 UTC 2025","Fri Dec 26 15:05:57 UTC 2025","3273","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testOTPBackNavigation","Verify back navigation from OTP screen",""
"passed","Fri Dec 26 15:05:15 UTC 2025","Fri Dec 26 15:05:37 UTC 2025","22127","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testValidOTPVerification","Verify OTP input with valid 6-digit code",""
"passed","Fri Dec 26 15:05:37 UTC 2025","Fri Dec 26 15:05:45 UTC 2025","7506","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testIncompleteOTPVerification","Verify OTP validation with incomplete code",""
"passed","Fri Dec 26 15:04:40 UTC 2025","Fri Dec 26 15:05:04 UTC 2025","23439","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testEmptyEmailPasswordReset","Verify password reset with empty email field",""
"passed","Fri Dec 26 15:05:04 UTC 2025","Fri Dec 26 15:05:15 UTC 2025","11254","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testSendOTPViaEmail","Verify OTP send via email functionality",""
