"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 26 11:21:45 UTC 2025","Fri Dec 26 11:21:57 UTC 2025","12169","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testMultipleResetAttempts","Verify multiple password reset attempts",""
"broken","Fri Dec 26 11:19:56 UTC 2025","Fri Dec 26 11:21:33 UTC 2025","96971","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testForgotPasswordBackNavigation","Verify back navigation from forgot password screen",""
"broken","Fri Dec 26 11:16:42 UTC 2025","Fri Dec 26 11:18:19 UTC 2025","96838","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testValidOTPVerification","Verify OTP input with valid 6-digit code",""
"passed","Fri Dec 26 11:16:10 UTC 2025","Fri Dec 26 11:16:15 UTC 2025","5407","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testInvalidEmailFormatReset","Verify password reset with invalid email format",""
"broken","Fri Dec 26 11:16:39 UTC 2025","Fri Dec 26 11:16:42 UTC 2025","2717","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testSendOTPViaEmail","Verify OTP send via email functionality",""
"passed","Fri Dec 26 11:16:15 UTC 2025","Fri Dec 26 11:16:39 UTC 2025","23775","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testEmptyEmailPasswordReset","Verify password reset with empty email field",""
"failed","Fri Dec 26 11:21:34 UTC 2025","Fri Dec 26 11:21:44 UTC 2025","10354","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testOTPBackNavigation","Verify back navigation from OTP screen",""
"passed","Fri Dec 26 11:16:01 UTC 2025","Fri Dec 26 11:16:09 UTC 2025","8258","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testValidEmailPasswordReset","Verify forgot password functionality with valid email",""
"passed","Fri Dec 26 11:21:57 UTC 2025","Fri Dec 26 11:23:40 UTC 2025","103678","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testKeyboardInteraction","Verify keyboard interaction during flows",""
"broken","Fri Dec 26 11:18:19 UTC 2025","Fri Dec 26 11:19:56 UTC 2025","96786","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testIncompleteOTPVerification","Verify OTP validation with incomplete code",""
